2025-07-23 18:35:45.340 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:45.340 | ERROR    | src.sync_manager:sync_fsm_data:104 - Error during FSM sync: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:45.462 | ERROR    | src.supabase_client:update_sync_status:112 - Error updating sync status for zoho_fsm.work_orders: {'message': 'Error in update_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:45.462 | ERROR    | src.sync_manager:run_sync_cycle:231 - Error during sync cycle: {'message': 'Error in update_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:45.463 | ERROR    | src.sync_manager:start_continuous_sync:244 - Error in continuous sync: {'message': 'Error in update_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:45.819 | ERROR    | src.supabase_client:get_records:62 - Error getting records from zoho_fsm.service_appointments: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:45.820 | ERROR    | src.api:get_data:129 - Error getting data from zoho_fsm.service_appointments: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:46.578 | ERROR    | src.supabase_client:get_records:62 - Error getting records from zoho_fsm.customers: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:46.578 | ERROR    | src.api:get_data:129 - Error getting data from zoho_fsm.customers: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:47.319 | ERROR    | src.supabase_client:get_records:62 - Error getting records from zoho_fsm.technicians: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:47.319 | ERROR    | src.api:get_data:129 - Error getting data from zoho_fsm.technicians: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:36:43.469 | INFO     | src.sync_manager:run_sync_cycle:219 - Starting sync cycle...
